image,width,height,filter,strategy,threads,iterations,avg_ms,throughput_mpix_s,speedup_vs_sequential
512.jpg,512,512,median5,pixels,8,20,18.882030,13.883253,4.051619
512.jpg,512,512,median5,rows,1,20,76.110185,3.444270,1.005158
512.jpg,512,512,median5,rows,2,20,39.671040,6.607944,1.928429
512.jpg,512,512,median5,rows,4,20,25.401260,10.320118,3.011771
512.jpg,512,512,median5,rows,8,20,23.987420,10.928395,3.189288
512.jpg,512,512,median5,columns,1,20,76.498465,3.426788,1.000056
512.jpg,512,512,median5,columns,2,20,39.711725,6.601174,1.926453
512.jpg,512,512,median5,columns,4,20,24.372525,10.755718,3.138895
512.jpg,512,512,median5,columns,8,20,17.260210,15.187764,4.432321
512.jpg,512,512,median5,grid,1,20,74.272260,3.529501,1.030032
512.jpg,512,512,median5,grid,2,20,39.360515,6.660075,1.943643
512.jpg,512,512,median5,grid,4,20,24.520285,10.690903,3.119979
512.jpg,512,512,median5,grid,8,20,17.428910,15.040757,4.389419
1024.jpg,1024,1024,gaussian3,sequential,1,12,36.578650,28.666340,1.000000
1024.jpg,1024,1024,gaussian3,pixels,1,12,54.790450,19.137934,0.667610
1024.jpg,1024,1024,gaussian3,pixels,2,12,48.042708,21.825914,0.761378
1024.jpg,1024,1024,gaussian3,pixels,4,12,43.476158,24.118414,0.841350
1024.jpg,1024,1024,gaussian3,pixels,8,12,33.022533,31.753348,1.107688
1024.jpg,1024,1024,gaussian3,rows,1,12,37.887467,27.676065,0.965455
1024.jpg,1024,1024,gaussian3,rows,2,12,19.676983,53.289469,1.858956
1024.jpg,1024,1024,gaussian3,rows,4,12,13.297900,78.852751,2.750709
1024.jpg,1024,1024,gaussian3,rows,8,12,11.231700,93.358619,3.256733
1024.jpg,1024,1024,gaussian3,columns,1,12,38.871375,26.975531,0.941018
1024.jpg,1024,1024,gaussian3,columns,2,12,20.276683,51.713388,1.803976
1024.jpg,1024,1024,gaussian3,columns,4,12,12.979725,80.785687,2.818138
1024.jpg,1024,1024,gaussian3,columns,8,12,11.558025,90.722766,3.164784
1024.jpg,1024,1024,gaussian3,grid,1,12,38.460258,27.263883,0.951077
1024.jpg,1024,1024,gaussian3,grid,2,12,20.703492,50.647302,1.766787
1024.jpg,1024,1024,gaussian3,grid,4,12,14.102233,74.355315,2.593820
1024.jpg,1024,1024,gaussian3,grid,8,12,11.609242,90.322523,3.150822
1024.jpg,1024,1024,gaussian5,sequential,1,12,90.794675,11.548871,1.000000
1024.jpg,1024,1024,gaussian5,pixels,1,12,104.381258,10.045635,0.869837
1024.jpg,1024,1024,gaussian5,pixels,2,12,66.443508,15.781466,1.366494
1024.jpg,1024,1024,gaussian5,pixels,4,12,51.377775,20.409136,1.767197
1024.jpg,1024,1024,gaussian5,pixels,8,12,40.967858,25.595089,2.216242
1024.jpg,1024,1024,gaussian5,rows,1,12,93.830883,11.175169,0.967642
1024.jpg,1024,1024,gaussian5,rows,2,12,52.455992,19.989633,1.730873
1024.jpg,1024,1024,gaussian5,rows,4,12,31.807442,32.966373,2.854510
1024.jpg,1024,1024,gaussian5,rows,8,12,25.228133,41.563757,3.598945
1024.jpg,1024,1024,gaussian5,columns,1,12,91.277408,11.487793,0.994711
1024.jpg,1024,1024,gaussian5,columns,2,12,48.244275,21.734724,1.881978
1024.jpg,1024,1024,gaussian5,columns,4,12,30.108117,34.827021,3.015621
1024.jpg,1024,1024,gaussian5,columns,8,12,25.322100,41.409520,3.585590
1024.jpg,1024,1024,gaussian5,grid,1,12,87.248342,12.018291,1.040646
1024.jpg,1024,1024,gaussian5,grid,2,12,45.622783,22.983604,1.990117
1024.jpg,1024,1024,gaussian5,grid,4,12,30.644775,34.217122,2.962811
